Enabled	25								
Number	Type	PositionX	PositionY	PositionZ	ColorRed	ColorGreen	ColorBlue	Attenuation	Shininess
0	1	-166.5915288	124.0476135	10.58286886	0.050980392	0.098039216	0.392156863	0.000009336	222.0849308
1	2	-11.2705622	-117.1911887	-1.916739927	0.666666667	0.996078431	0.545098039	0.000344086	177.1337761
2	2	-15.1158362	-69.83075621	13.41816522	0.803921569	0.615686275	0.435294118	0.000051938	19.3349326
3	2	60.67234139	-15.6328657	9.296066451	0.215686275	0.623529412	0.368627451	0.000039726	37.44070772
4	1	13.2186171	14.7420889	6.742518507	0.984313725	0.890196078	0.462745098	0.000594896	160.6774825
5	2	185.1673689	-81.221345	11.807922265	0.964705882	0.592156863	0.733333333	0.000697793	229.9130314
6	2	46.08527356	-149.4729577	10.577429275	0.074509804	0.22745098	0.658823529	0.000578947	122.6920272
7	2	112.9469836	-0.034921452	5.134823287	0.576470588	0.125490196	0.705882353	0.000658375	72.42732177
8	3	-18.36543534	197.1040913	1.567156737	0.568627451	0.956862745	1	0.001560062	78.33988217
9	2	-26.98044027	-51.66842506	4.663505579	0.003921569	0.298039216	0.564705882	0.001347709	95.65103457
10	2	-132.7767141	-122.7573877	5.666971606	0.345098039	0.592156863	0.6	0.002298851	136.3433951
11	2	104.4585604	-59.15767373	3.938448806	0.552941176	0.737254902	0.341176471	0.001618123	45.74925434
12	1	-22.08804855	136.0833176	-4.374909278	0.007843137	0.623529412	0.890196078	0.000004427	132.4013721
13	1	20.86272168	-13.7653917	2.489817136	0.341176471	0.77254902	0.070588235	0.001113586	1.770716889
14	2	37.46042339	89.26349587	-6.580117734	0.768627451	0.647058824	0.168627451	0.002004291	18.37068917
15	1	78.36919693	-159.8327835	-3.944165778	0.403921569	0.023529412	0.580392157	0.001234568	55.65993166
16	3	175.2322412	33.79871151	9.69072359	0.607843137	0.294117647	0.97254902	0.003636364	16.34969008
17	1	-9.405500836	74.35679219	-4.086724117	0.262745098	0.737254902	0.635294118	0.005505556	18.74336131
18	1	-182.1692718	-151.2844581	-4.914129799	0.77254902	0.231372549	0.992156863	0.001321004	118.9251247
19	3	15.84127368	78.29699505	-7.876805842	0.882352941	0.607843137	0.423529412	0.000071811	243.7011369
20	3	133.1339476	-130.6335732	-0.54519891	0.57254902	0.28627451	0.529411765	0.000000082	171.8880848
21	1	53.94940438	198.0711529	9.754996278	0.541176471	0.08627451	0.215686275	0.001044932	198.92220587
22	1	17.3625716	145.6194637	6.285310181	0.819607843	0.541176471	0.976470588	0.006329114	169.08236388
23	3	108.2522887	-33.85523709	-3.405213429	0.596078431	0.152941176	0.882352941	0.001059322	163.7820802
24	3	-123.8662716	32.33542382	-1.358424408	0.074509804	0.745098039	0.08627451	0.00245098	88.72750865
